1	01-value-score-orientation-decoupled.md	Value score and orientation are decoupled
2	02-matrix-consultative-or-decision-engine.md	Is the Matrice consultative or the decision engine?
3	03-rejets-vs-vecteurs-editing-scope.md	Editing scope of disqualifiers (rejets) vs drivers (vecteurs)
4	04-demontabilite-gate-off-by-default.md	"Démontabilité" gate is off by default
5	05-worst-rating-at-blocking-threshold.md	Worst rating sits exactly at the blocking threshold
6	06-unused-seuils-confiance-rows.md	Unused "Seuils"/"Confiance" rows in the dataset
7	07-how-inspection-feeds-scoring.md	How "Inspection" feeds the scoring
8	08-inherited-alert-no-rule.md	Inherited alert can appear active but do nothing
9	09-undifferentiated-custom-criterion.md	Undifferentiated default custom criterion
10	10-orientation-vs-destination.md	"Orientation" (computed) vs "destination" (buyer)
11	11-combustion-price-as-cost.md	Combustion price counted as a negative (cost)
12	12-orientation-grouping-exact-label.md	Orientation grouping relies on an exact label match
13	13-two-volume-calculations.md	Two separate cross-section volume calculations
14	14-fraction-c-editable-but-fixed.md	Editable "Fraction C" but carbon uses a fixed 0.5
15	15-stale-sections-on-length-change.md	Stale sections when the length changes
16	16-climate-keyed-by-name.md	Climate keyed by department name, others by code
17	17-wind-data-builtin-incomplete.md	Wind data is built-in, unsourced, and incomplete
18	18-climate-pre2015-canton-names.md	Climate data uses pre-2015 canton names
19	19-two-species-lists.md	Two overlapping species lists (111 vs 121)
20	20-rarity-table-duplicates.md	Duplicate rows in the rarity table
21	21-dom-coverage-inconsistent.md	Inconsistent overseas (DOM) coverage
22	22-overseas-vs-mainland-undefined.md	Overseas vs mainland coverage undefined
23	23-canton-prefix-matching.md	Canton name matching uses prefix matching
24	24-address-autodetect-offline.md	Address auto-detect offline/failure behaviour
25	25-ifc-library-mode-scale.md	Possible 1000x size error in IFC "library" mode
26	26-ifc-eval-scores-source.md	Evaluation scores read from differently-named places
27	27-ifc-custom-info-two-places.md	Custom-info group defined in two places
28	28-ifc-units-no-conversion.md	Moisture/density exported without unit conversion
29	29-3d-which-volume.md	Which volume the 3D details carry
30	30-mixed-extruded-mesh-orientation.md	Consistent orientation of mixed extruded/mesh pieces
31	31-3d-orientation-granularity.md	3D orientation granularity (lot vs piece)
32	32-glb-dae-spacing.md	GLB vs DAE spacing differs
33	33-sketchup-naming.md	SketchUp component naming
34	34-3d-no-colour.md	3D exports have no colour by orientation
35	35-html-no-save-button.md	No visible trigger for the in-app HTML save
36	36-html-readme-fallback.md	README fallback message not implemented
37	37-barcode-deps-vs-local.md	Barcode/QR tools listed as dependencies but used as local copies
38	38-compact-number-handling.md	Numeric handling differs between compact paths
39	39-no-conflict-handling.md	No conflict handling (last write wins)
40	40-status-fallback-prediagnostic.md	Summary status can fall back to "pré-diagnostic"
41	41-unknown-status-silent.md	Unknown status shows nothing, silently
42	42-no-auto-retry.md	Failed cloud save is not auto-retried
43	43-access-rules-comment-only.md	Cloud access rules exist only as a comment
44	44-created-date-missing.md	"Created" date neither recorded nor shown
45	45-cannot-leave-shared.md	No way to leave a shared evaluation
46	46-shared-search-collision.md	Shared search could clash with a same-named collection
47	47-no-save-retry-ui.md	No "retry" action on a failed cloud save
48	48-no-email-verification.md	No e-mail verification on sign-up
49	49-password-rule-minimal.md	Password rule is only a 6-character minimum
50	50-signed-out-wording.md	Signed-out wording when the account service is down
51	51-english-incomplete.md	English translation is incomplete
52	52-reference-data-french-only.md	Reference data is French-only
53	53-packaging-protection-scope.md	Packaging/protection scope (operation vs lot)
54	54-two-alert-editors.md	Two custom-alert editors coexist
55	55-detail-level-selection.md	Where the detail level (1-4) is chosen
56	56-synthese-refresh.md	What refreshes the Synthèse tab
57	57-version-vs-revision.md	"Version" vs internal "revision"
58	58-unused-duplicate-fields.md	Seemingly unused duplicate fields
59	59-charts-need-internet.md	Charts need internet to display
60	60-axis-labels-french.md	Axis labels frozen in French
61	61-library-no-lang-selector.md	"Mes évaluations" has no own language selector
62	62-brand-wording.md	"VALOBOIS" vs "Valoxylo"/"Membres" wording
63	63-sharing-hint-fr-en.md	Sharing hint differs FR vs EN
64	64-confidence-styling.md	Styling for all four confidence states
65	65-operation-autofocus.md	Auto-focus on operation info not implemented
